学号,单次消费平均值
92429184,4.135026390580631
69897276,6.024137115839268
17800824,3.6982155046319223
46489947,3.6377937743191078
38023204,3.785239471511169
74296779,3.121953045253547
92038204,2.5714015027769372
37992102,5.978883029721968
93312344,2.0712519201229123
22246262,4.231232461130111
96397623,4.335143784786686
16382176,3.9524012006003377
38839828,3.5126084812623266
22692191,2.9357425742574796
2022736,4.023586497890334
18152284,4.463870967741949
19172173,4.502754342431772
62270929,3.1907516077171305
18142392,2.9010710035700127
24332823,3.514535697620205
33836494,2.7653913697943286
13729119,3.934361400189222
82170093,3.5672026544155075
49868022,4.808030534351212
20133362,4.300556328233674
84219943,4.603678290213806
42212441,4.280084545147165
24268183,2.8827042577675654
36132829,3.56867390278436
49979246,4.290543825975707
94599231,3.7492720618137643
91133323,2.571791277258589
90236161,3.853501016260202
93972171,3.031112629852416
93048921,4.020446808510701
12339847,2.758030575539577
42830301,3.468665338645484
76192623,4.598051554207735
91016172,4.747487684729051
20329413,4.704763281532348
12692932,3.61714051394206
29409979,3.9254231433506686
48916380,2.985492055964047
89197097,4.274703947368499
77297429,5.017130384167632
32906203,3.2373796147672658
81976906,4.151557765151558
44773872,4.253992248062024
33338238,3.9644326141776673
71962216,4.112602068590119
22366322,3.2711653684841133
69931231,3.1784972170686894
90276110,5.2371941992434
13332714,2.987210432114614
22912912,4.109276659209584
29247233,2.903807433421173
22999378,3.882168874172189
10682233,3.5078016528925664
94973223,3.11703340757245
29831872,3.4579030558483113
33977282,3.808032244729244
81432228,4.173486416558895
91988477,3.101447326288858
32691479,2.5592234548336035
32569348,4.250152193375114
82274418,4.494512137077603
68088770,3.6903763440860717
38242243,4.821268796992494
37929335,4.023313574392434
96813892,4.4921434108527585
99180011,4.915900339750878
28194008,3.416860068259382
28202772,2.7035469107552603
27972063,2.551797853309525
32318332,3.2816123907863415
39116287,4.747407886231439
92183796,5.482445582586453
73399613,3.029459138187205
3216067,2.7962245728234887
13059942,3.214777232581087
21162373,4.256566125290049
53893307,2.6939847619047677
27199732,3.4245125958379306
25182968,3.6470642570281147
22262912,4.557589353612172
21792709,4.356479768786149
74141239,2.932435649045176
72239603,3.9979986500169318
62111036,3.6685489220564396
64062288,4.786831438457797
27776390,3.8290449172577334
19129711,4.194942929613201
34197612,4.556064073226568
99323130,4.197622655122652
22324322,2.928357429718892
92282342,2.688910171730542
59693998,3.8832802333408094
12383422,3.888011257035707
40132940,4.5222888109659305
21233648,3.4816616989568407
93369434,4.403867208672118
43978852,3.9458364312267546
28101148,4.88191717791412
97361277,4.124458556149794
27523967,3.994175884955807
92167326,2.481155152887901
79210227,4.708236929922193
22081137,3.8131475777093433
93822667,4.837946428571456
96136029,3.1376822916666844
81918122,4.773550074738424
96238019,2.738749241044353
78921111,3.322806276403146
22241449,4.578539325842696
42859427,2.7052168021680822
31606042,2.8476235679214765
47227399,2.973916408668728
23429231,4.176292699263304
86235798,3.6155696988513393
22368983,2.467658108954285
33110272,3.9794149980369404
98462843,4.410547945205517
63338911,4.059860491071442
28231317,4.077914331465191
91944224,3.520174081237925
12912329,2.379348931841326
93273391,2.645975609756116
23208224,3.465305164319257
14498633,3.7526696832579542
38291961,4.854669407331363
31321294,3.2057148659626753
62329197,4.244809465273559
81832389,3.466177263969202
22880196,4.796702508960593
91388529,3.8841634124362083
99722239,4.0678868841082965
90628784,4.266035598705516
34768890,4.306965517241409
72632713,4.719430010604466
32799537,3.733072607260773
23933692,3.4367863664029477
60747962,3.3718570958182843
91819222,3.669590321693757
14632429,4.465577586206904
31322490,4.114183764495988
8389337,3.9934410941871574
46227174,3.5569709238130534
12399262,3.433413986426735
91232693,2.8563302752293858
94011342,4.749215304799016
32372998,4.009758292620211
26764612,4.538524934383243
20413647,3.0489592223803417
87912989,3.479164845836461
16228098,4.041315207081892
91610172,4.433291536050188
76243323,3.435916944528648
98989017,3.34674910394272
18991929,2.819419642857145
82436329,3.846663952225883
77621131,3.52076413119332
22438079,3.744749066777286
49915134,4.239526315789472
74901339,2.5267230008244366
98323914,1.6412193732193767
8419598,3.6339345481592007
36888029,3.3288165075034417
31929762,4.064256559766807
21902895,3.180665445665465
36724746,3.6850339164583876
68099280,4.063961330935301
99621903,2.6129526869158823
96996727,2.717721879449463
52824972,4.474681560520196
69243762,2.7236475840337144
32796472,3.805383191410637
71421972,4.577889974665243
63290092,3.196405693950241
32738013,2.8412583120204666
23122142,4.148031268095058
22269189,4.279463927855727
27099642,3.3223988345743027
91488421,3.168121693121723
29873668,3.3875644699140226
86116940,4.144746787603955
22960334,4.894422110552774
21221716,5.599432387312202
82117123,2.6500650502661465
39424612,4.232427360774823
73124132,3.5072496171516487
